"id_poliza","segmento","prob_segmento","mult_freq","n_siniestros_DM","siniestro_DM","n_siniestros_Robo","siniestro_Robo","n_siniestros_RC","siniestro_RC","siniestro_total","prima_DM_comercial","prima_Robo_comercial","prima_RC_comercial","prima_total","LR"
1,"Bajo riesgo",0.3,0.7,1,9782.7740548802,0,0,0,0,9782.7740548802,955.5,546,1310.4,2811.9,3.47906186382169
2,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
3,"Bajo riesgo",0.3,0.7,1,20689.1555070798,0,0,0,0,20689.1555070798,955.5,546,1310.4,2811.9,7.35771382591123
4,"Estándar",0.5,1,0,0,1,42888.0698383661,0,0,42888.0698383661,1365,780,1872,4017,10.6766417322295
5,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
6,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
7,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
8,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
9,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
10,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
11,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
12,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
13,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
14,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
15,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
16,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
17,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
18,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
19,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
20,"Estándar",0.5,1,0,0,0,0,1,11997.801938516,11997.801938516,1365,780,1872,4017,2.98675676836344
21,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
22,"Alto riesgo",0.2,1.5,1,9454.95272964882,0,0,1,57338.5514163121,66793.5041459609,2047.5,1170,2808,6025.5,11.0851388508773
23,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
24,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
25,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
26,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
27,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
28,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
29,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
30,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
31,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
32,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
33,"Estándar",0.5,1,0,0,0,0,1,27700.5828961687,27700.5828961687,1365,780,1872,4017,6.8958384107963
34,"Bajo riesgo",0.3,0.7,1,39169.7600939807,0,0,0,0,39169.7600939807,955.5,546,1310.4,2811.9,13.9299975440025
35,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
36,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
37,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
38,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
39,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
40,"Alto riesgo",0.2,1.5,1,23300.0605543437,0,0,0,0,23300.0605543437,2047.5,1170,2808,6025.5,3.86690906220955
41,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
42,"Alto riesgo",0.2,1.5,0,0,0,0,1,32320.6374556496,32320.6374556496,2047.5,1170,2808,6025.5,5.36397601122721
43,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
44,"Alto riesgo",0.2,1.5,1,29172.7182558574,0,0,0,0,29172.7182558574,2047.5,1170,2808,6025.5,4.84154315091816
45,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
46,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
47,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
48,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
49,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
50,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
51,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
52,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
53,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
54,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
55,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
56,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
57,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
58,"Bajo riesgo",0.3,0.7,0,0,0,0,1,18381.345813069,18381.345813069,955.5,546,1310.4,2811.9,6.5369841790494
59,"Bajo riesgo",0.3,0.7,0,0,1,14732.81301492,0,0,14732.81301492,955.5,546,1310.4,2811.9,5.2394512660194
60,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
61,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
62,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
63,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
64,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
65,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
66,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
67,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
68,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
69,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
70,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
71,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
72,"Alto riesgo",0.2,1.5,0,0,0,0,0,0,0,2047.5,1170,2808,6025.5,0
73,"Bajo riesgo",0.3,0.7,0,0,0,0,0,0,0,955.5,546,1310.4,2811.9,0
74,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
75,"Estándar",0.5,1,0,0,0,0,0,0,0,1365,780,1872,4017,0
